Rank,Youtuber,Subscribers,Video Views,Category,Title,Uploads,Country,Abbreviation,Channel_Type,Video_Views_Rank,Country_Rank,Channel_Type_Rank,Video_Views_For_The_Last_30_Days,Lowest_Monthly_Earnings,Highest_Monthly_Earnings,Lowest_Yearly_Earnings,Highest_Yearly_Earnings,Subscribers_For_Last_30_Days,Created_Year,Created_Month,Created_Date,Gross Tertiary Education Enrollment (%),Population,Unemployment Rate,Urban_Population,Latitude,Longitude
298,White Hill Music,23000000,10939966484.0,Entertainment,White Hill Music,5718,India,IN,Music,382,60,82,93183000.0,23300.0,372700.0,279500.0,4500000.0,100000,1970-01-01 00:00:00.000002014,Mar,23,28.1,1366417754,5.36,471031528,20.593684,78.96288
299,Ultra Movie Parlour,22900000,5320485069.0,Movies,Ultra Movie Parlour,1670,India,IN,Film,1248,61,22,118846000.0,0.0,0.0,0.0,0.0,300000,1970-01-01 00:00:00.000002011,May,17,28.1,1366417754,5.36,471031528,20.593684,78.96288
300,Alan Becker,22900000,5380073627.0,Film & Animation,Alan Becker,0,United States,US,Games,4057944,7700,7453,0.0,0.0,0.0,0.0,0.0,1,1970-01-01 00:00:00.000002006,Mar,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
301,toyorbabytv,22900000,16298342829.0,Music,toyorbabytv,1159,Jordan,JO,Music,181,2,83,169056000.0,42300.0,676200.0,507200.0,8100000.0,300000,1970-01-01 00:00:00.000002012,Nov,1,34.4,10101694,14.72,9213048,30.585164,36.238414
302,BabyBus - Canciones Infantiles & Videos para Niï¿½ï,22900000,13206471140.0,Education,BabyBus - Canciones Infantiles & Videos paraï¿½,1251,Mexico,MX,Education,278,12,17,136821000.0,34200.0,547300.0,410500.0,6600000.0,200000,1970-01-01 00:00:00.000002018,Mar,19,40.2,126014024,3.42,102626859,23.634501,-102.552784
303,KL BRO Biju Rithvik,22800000,17988347989.0,Entertainment,KL BRO Biju Rithvik,1841,Unknown,Unknown,Entertainment,143,0,79,2033000000.0,508100.0,8100000.0,6100000.0,97600000.0,3200000,1970-01-01 00:00:00.000002020,Jul,21,0.0,0,0.0,0,0.0,0.0
304,Vania Mania Kids,22700000,10115316784.0,People & Blogs,Vania Mania Kids,985,United States,US,Education,438,87,18,155215000.0,38800.0,620900.0,465600.0,7500000.0,300000,1970-01-01 00:00:00.000002015,Sep,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
305,Like Nastya PRT,22700000,11568118121.0,Entertainment,Like Nastya PRT,654,Unknown,Unknown,Entertainment,344,0,82,96613000.0,24200.0,386500.0,289800.0,4600000.0,100000,1970-01-01 00:00:00.000002019,Apr,9,0.0,0,0.0,0,0.0,0.0
306,Sun TV,22600000,20847038152.0,People & Blogs,Sun TV,60964,India,IN,Entertainment,109,63,82,982238000.0,245600.0,3900000.0,2900000.0,47100000.0,600000,1970-01-01 00:00:00.000002016,Feb,26,28.1,1366417754,5.36,471031528,20.593684,78.96288
307,Heroindori,22600000,9223534599.0,Comedy,Heroindori,495,India,IN,Entertainment,508,62,81,399152000.0,99800.0,1600000.0,1200000.0,19200000.0,1400000,1970-01-01 00:00:00.000002020,Jun,29,28.1,1366417754,5.36,471031528,20.593684,78.96288
